Id,Speed,RPM,Engine Load,gear_labels
131505,7,898,44,1st gear
133384,7,898,44,1st gear
131504,1,917,32,1st gear
133424,1,917,32,1st gear
131503,0,774,38,1st gear
133468,0,774,38,1st gear
131502,0,776,38,1st gear
133495,0,776,38,1st gear
133523,0,782,39,1st gear
131501,0,782,39,1st gear
133567,0,781,38,1st gear
131583,0,781,38,1st gear
131582,0,781,39,1st gear
133593,0,781,39,1st gear
131581,0,778,37,1st gear
133628,0,778,37,1st gear
133651,0,780,36,1st gear
131580,0,780,36,1st gear
131579,0,780,39,1st gear
133697,0,780,39,1st gear
133723,0,779,38,1st gear
133757,0,774,35,1st gear
133780,0,780,38,1st gear
133850,0,776,39,1st gear
133936,0,786,38,1st gear
133902,0,786,38,1st gear
133976,0,776,36,1st gear
134012,0,783,36,1st gear
134065,0,785,39,1st gear
134324,0,785,39,1st gear
134323,0,781,38,1st gear
134322,0,781,38,1st gear
134321,0,780,0,1st gear
134320,0,777,37,1st gear
134361,0,780,2,1st gear
134398,0,781,2,1st gear
134480,0,776,37,1st gear
134589,0,780,37,1st gear
134588,0,780,38,1st gear
134587,0,0,38,reverse gear
134638,0,780,35,1st gear
134682,0,780,38,1st gear
134716,0,778,38,1st gear
134767,0,777,37,1st gear
134816,0,777,37,1st gear
134854,0,783,37,1st gear
134888,0,784,39,1st gear
135020,0,778,37,1st gear
135065,0,788,39,1st gear
135104,0,781,36,1st gear
135148,0,783,37,1st gear
135184,0,777,36,1st gear
135230,0,786,36,1st gear
135251,0,781,38,1st gear
135305,0,781,38,1st gear
135329,0,782,34,1st gear
135367,0,768,39,1st gear
135417,7,946,86,1st gear
135469,19,1747,0,4th gear
135548,25,1783,43,4th gear
135547,24,1654,1,3rd gear
135582,11,879,31,1st gear
135612,6,964,36,1st gear
135635,7,963,96,1st gear
135675,15,1353,9,2nd gear
135790,24,1706,41,4th gear
135738,24,1706,41,4th gear
135830,25,1783,31,4th gear
135829,26,1778,20,4th gear
135909,22,1550,9,3rd gear
135936,12,843,38,1st gear
135977,6,901,42,1st gear
136024,0,840,38,1st gear
136050,0,776,44,1st gear
136096,0,776,44,1st gear
136194,6,714,69,1st gear
136180,6,714,69,1st gear
136272,5,923,49,1st gear
136271,8,939,38,1st gear
